#table generated by xedstrtsv.py		
key	messages.properties	messages_ja.properties
gemx.CloneDetectionFromFileListOptionDialog.S_2_SOFT_SHAPER	2 - Soft shaper	2 - ソフトシェイパ
gemx.CloneDetectionFromFileListOptionDialog.S_3_HARD_SHAPER	3 - Hard shaper	3 - ハードシェイパ
gemx.CloneDetectionFromFileListOptionDialog.S_PMATCH_APPLICATOIN	P-match Application	P-match適用
gemx.CloneDetectionFromFileListOptionDialog.S_PREPROCESSOR	Preprocess script	プリプロセススクリプト
gemx.CloneDetectionFromFileListOptionDialog.S_SHAPER_LEVEL	Shaper Level	シェイパレベル
gemx.CloneDetectionFromFileListOptionDialog.S_USE_PMATCH	Use P-match	P-Matchを利用する
gemx.CloneDetectionOptionDialog.S_0_DONT_USE_SHAPER	0 - Don't Use shaper	0 - シェイパを使わない
gemx.CloneDetectionOptionDialog.S_1_EASY_SHAPER	1 - Easy shaper	1 - 簡易シェイパ
gemx.CloneDetectionOptionDialog.S_2_SOFT_SHAPER	2 - Soft shaper	2 - ソフトシェイパ
gemx.CloneDetectionOptionDialog.S_3_HARD_SHAPER	3 - Hard shaper	3 - ハードシェイパ
gemx.CloneDetectionOptionDialog.S_CANCEL	&Cancel	キャンセル(&C)l
gemx.CloneDetectionOptionDialog.S_MINIMUM_CLONE_LENGTH	Minumum Clone Length	最小クローン長
gemx.CloneDetectionOptionDialog.S_MINIMUM_TKS	Minimum TKS	最小TKS(トークンセットサイズ)
gemx.CloneDetectionOptionDialog.S_NUM_IDENTIFIED_SOURCE_FILES	\# identifield source files	特定されたソースファイル数
gemx.CloneDetectionOptionDialog.S_OK	&OK	&OK
gemx.CloneDetectionOptionDialog.S_PMATCH_APPLICATION	P-match Application	P-match適用
gemx.CloneDetectionOptionDialog.S_PREPROCESSOR	Preprocess script	プリプロセススクリプト
gemx.CloneDetectionOptionDialog.S_SHAPER_LEVEL	Shaper Level	Shaper Level
gemx.CloneDetectionOptionDialog.S_SPECIFY_DETECTION_OPTION_BY_THIS_DIALOG	Specify detection options by this dialog.\n\n	このダイアログで、検出オプションを設定してください。\n\n
gemx.CloneDetectionOptionDialog.S_USE_PMATCH	Use P-match	P-mathを利用する
gemx.CloneDetectionOptionDialogs.S_FILE_LIST1	File List	ファイルリスト
gemx.CloneReDetectionDialog.S_MODIFY_DETECTION_OPTIONS_BY_THIS_DIALOG	Modify detection options by this dialog.	このダイアログで、検出オプションを修正してください。
gemx.CloneSetMetricModel.S_INVALID_CLONE_SET_ID_IN_CLONE_SET_METRIC_FILE	invalid clone-set id in clone-set metric file	クローンセットメトリックファイル中の不正なクローンセットID
gemx.CloneSetMetricModel.S_INVALID_CLONE_SET_METRIC_FILE	invalid clone-set metric file	不正なクローンセットファイル
gemx.CloneSetMetricModel.S_SUMMARY_VALUES_MISSING	summary values missing	サマリが含まれていません
gemx.CloneSetTable.M_ADD_CLONE_SET_METRICS	Show Clone-Set &Metrics	クローンセットメトリクスを表示(&M)
gemx.ClonesetTable.M_CHECK_MARK	Ch&eck Mark	チェックマーク(&E)
gemx.CloneSetTable.M_COPY_CLONE_SET_IDS	Copy Clone-Set &IDs	クローンセットIDをコピー(&I)
gemx.CloneSetTable.M_COPY_ITEMS	Copy I&tems	アイテムをコピー(&T)
gemx.CloneSetTable.M_FILTER_CLONE_SET_BY_METRIC	Fi&lter Clone Set by Metic...	クローンセットメトリクスによるフィルタリング...(&L)
gemx.CloneSetTable.M_FIT_SCOPE_TO_CLONE_SETS_EXCEPT_FOR_SELECTED_ONES	Fit Scope to Clone Sets &Except for Selected Ones	選択中のクローンセット以外をスコープに(&E)
gemx.CloneSetTable.M_FIT_SCOPE_TO_SELECTED_CLONE_SETS	Fit Scope to &Selected Clone Sets	選択中のクローンセットをスコープに(&S)
gemx.CloneSetTable.M_PASTE_SELECTION	P&aste Clone-Set IDs as Selected Items	選択されたアイテムとしてクローンセットIDを貼り付け(&A)
gemx.CloneSetTable.M_POP_SCOPE	&Pop Scope	スコープをポップする(&P)
gemx.CloneSetTable.M_SELECT_FILES_INCLUDING_ALL_OF_THEM	Select Files Including All &of Them	それらすべてを含むファイルを選択状態に(&O)
gemx.CloneSetTable.M_SELECT_FILES_INCLUDING_THEM	Select &Files Including Them	それらを含むファイルを選択状態に(&F)
gemx.ClonesetTable.M_SHOW_A_CODE_FRAGMENT	Show a &Code Fragment	コード断片を1つ表示(&C)
gemx.CloneSetTable.M_SHOW_CODE	Show &Code	コードを表示(&C)
gemx.CloneSetTable.M_SHOW_NEXT_CODE	Show &Next Clone-Pair Code	次のクローンペアのコードを表示(&N)
gemx.CloneSetTable.M_SHOW_PREV_CODE	Show P&rior Clone-Pair Code	前のクローンペアのコードを表示(&R)
gemx.CloneSetTable.S_SELECT_ONE_CLONE_SET	"Select ONE clone set, please"	クローンセットを１つだけ選択してください。
gemx.FileMetricModel.S_INVLID_FILE_METRIC_FILE	invalid file metric file	不正なファイルメトリックファイル
gemx.FileMetricModel.S_SUMMARY_VALUES_MISSING	summary values missing	サマリが含まれていません
gemx.FileTable.M_ADD_FILE_METRICS	Show File &Metrics	ファイルメトリクスを表示(&M)
gemx.FileTable.M_CHECK_MARK	Ch&eck Mark	チェックマーク(&E)
gemx.FileTable.M_CLONE_SETS_COMMONLY_INCLUDED_BY_THEM	Select Clone Sets C&ommonly Included by Them	それらすべてが共通に含むクローンセットを選択状態に(&O)
gemx.FileTable.M_COPY_FILE_PATHS	Copy &File Paths	ファイルのパスをコピー(&F)
gemx.FileTable.M_COPY_ITEMS	Copy I&tems	アイテムをコピー(&T)
gemx.FileTable.M_FILTER_FILE_BY_METRIC	F&ilter File by Metric...	ファイルメトリクスによるフィルタリング...(&I)
gemx.FileTable.M_FIT_SCOPE_TO_FILES_EXCEPT_FOR_SELECTED_ONES	Fit Scope to Files &Except for Selected Ones	選択中のファイル以外をスコープに(&E)
gemx.FileTable.M_FIT_SCOPE_TO_SELECTED_FLIES	Fit Scope to &Selected Files	選択中のファイルをスコープに(&S)
gemx.FileTable.M_NAMED_PARENT_DIRECTORY	&Named Parent Directory...	&指定した親ディレクトリから(&N)...
gemx.FileTable.M_PASTE_SELECTION	P&aste File IDs as Selected Items	選択されたアイテムとしてファイルIDを貼り付け(&A)
gemx.FileTable.M_POP_SCOPE	&Pop Scope	スコープをポップする(&P)
gemx.FileTable.M_SELECT_FILES_UNDER	Select Files Un&der	指定ディレクトリ以下のファイルを選択状態に(&U)
gemx.FileTable.M_THE_SAME_DIRECTORY	The Same Directory (&0)	同じディレクトリ(&0)
gemx.FileTable.S_SELECT_CLONE_SETS_INCULDED_BY_THEM	Select &Clone Sets Included by Them	それらに含まれるクローンセットを選択状態に(&C)
gemx.FileTable.S_SELECT_FILES_THAT_HAVE_CLONES_BETWEEN_THEM	Select Files That Have Clones &Between Them	それらとの間にクローンを持つファイルを選択状態に(&B)
gemx.FileTable.S_SELECT_ONE_FILE	"Select ONE file, please"	ファイルを一つだけ選択してください。
gemx.GemXSettingsDialog.S_CALC_CLONE_METRICS_ALWAYS	Calc Clone Metrics Always	クローンメトリクスを常に算出
gemx.GemXSettingsDialog.S_CALC_FILE_METRICS_ALWAYS	Calc File Metrics Always	ファイルメトリクスを常に算出
gemx.GemXSettingsDialog.S_FIT_SCATTER_PLOT_TO_WINDOW_SIZE	Fit Scatter Plot to Window Size	散布図の大きさをウィンドウサイズに合わせる
gemx.GemXSettingsDialog.S_GEMX_SETTINGS	GemX Preferences	GemX設定 - GemX
gemx.GemXSettingsDialog.S_IT_WILL_TAKE_EFFECT_AFTER_RESTART	(Adding panes will be done immediately. \n Removing panes will be done after restart.	(ペインを増加させる場合は即座に実行されます。\n減らす場合は再起動後に実行されます。)
gemx.GemXSettingsDialog.S_MAX_NUM_FILES_SHOWN_IN_SOURCE_TEXT_PANE	Max \# Files Shown in Source Text Pane	ソーステキストに表示されるファイルの最大個数
gemx.GemXSettingsDialog.S_SHOW_CODE_FRAGMENTS_OF_A_CLONE_PAIR	Show pair of code fragments when click in Clone-Set Table	クローンセットテーブルでクリックしたときにコード断片のペアを表示する
gemx.GemXSettingsDialog.S_USE_INDEPENDENT_SOURCETEXT_MODE	Keep Files Being Opened in Source Text View When Possible	ソーステキストで開いているファイルをなるべく閉じない
gemx.Main.S_ANOTHER_INSTANCE_OF_GEMX_IS_RUNNING	"Another instance of GemX is running, or \n"	実行中のGemXがあるか、\ \n
gemx.Main.S_FILE_IO_ERROR_IN_READING_PROPERTY_FILE	File IO error in reading property file. \n	プロパティファイルの読み込み中のファイルIOエラー。\ \n
gemx.Main.S_FILE_IO_ERROR_IN_WRITING_PROPERTY_FILE	File IO error in writing property file. \n	プロパティファイルの書き込み中のファイルIOエラー。\ \n
gemx.Main.S_FORCE_CONTINUE_P	Force continue?\n	強制的に実行を続けますか？\ \n
gemx.Main.S_GEMX_CCFX_VERSION_MISMATCH	GemX / ccfx version mismatch. \n	GemX\ /\ ccfxのバージョンが整合しません。\ \n
gemx.Main.S_INITIALIZE_THE_PROPERTY_FILE_P	Initialize the property file?\n	プロパティファイルを初期化しますか？\ \n
gemx.Main.S_LICENSE_KEY_NOT_FOUND	License key not found.	ライセンスキーが見つかりません。
gemx.Main.S_PROPERTY_FILE_VERSION_MISMATCH	Property file version mismatch. \n	プロパティファイルのバージョンが整合しません。\ \n
gemx.Main.S_THE_LAST_EXECUTION_OF_GEMX_WAS_CRUSHED	the last execution of GemX was crushed. \n	直前のGemXの実行が異常終了しています。\ \n
gemx.MainWindow.M_ABOUT	&About...	GemXについて...(&A)
gemx.MainWindow.M_ADD_BOTH_FILE_AND_CLONESET_METRICS_TO_TABLES	Add &Both File and Clone-Set Metrics to Tables	ファイルメトリクスとクローンセットメトリクスの両方を追加(&B)
gemx.MainWindow.M_ADD_CHECK_MARKS_TO_SELCTED_ITEMS	&Add Check Marks to Selected Items\tCtrl+M	選択中のアイテムにチェックマークをつける(&A)\tCtrl+M
gemx.MainWindow.M_ADD_CLONE_SET_METRICS	Show &Clone-Set Metrics	クローンセットメトリクスを表示(&C)
gemx.MainWindow.M_ADD_FILE_METRICS	Show &File Metrics	ファイルメトリクスを表示(&F)
gemx.MainWindow.M_CCFX_SETTINGS	&ccfx Preferences...	ccfx設定...(&C)
gemx.MainWindow.M_CLEAR_CHECK_MARKS	&Clear Check Marks\tCtrl+Shift+I	チェックマークをクリア(&C)\tCtrl+Shift+I
gemx.MainWindow.M_COPY_CTRL_C	Copy\tCtrl+C	コピー\tCtrl+C
gemx.MainWindow.M_DETECT_CLONES	&Detect Clones...	クローンを検出...(&D)
gemx.MainWindow.M_DETECT_CLONES_FROM_FILE_LIST	Detect Clones from &File List...	ファイルリストからクローンを検出...(&F)
gemx.MainWindow.M_DETECT_CLONES_FROM_FILES_IN_CLIPBOARD	Detect Clones from Files in &Clipboard...	クリップボードのファイルからクローンを検出...(&C)
gemx.MainWindow.M_EDIT	&Edit	編集(&E)
gemx.MainWindow.M_EXIT	E&xit	終了(&E)
gemx.MainWindow.M_FILE	&File	ファイル(&F)
gemx.MainWindow.M_FILTER_CLONE_SET_BY_METRIC	Fi&lter Clone Set by Metric...	クローンセットメトリクスによるフィルタリング...(&L)
gemx.MainWindow.M_FILTER_FILE_BY_METRIC	F&ilter File by Metric...	ファイルメトリクスによるフィルタリング...(&I)
gemx.MainWindow.M_FIND	&Find...\tCtrl+F	検索(&F)…\tCtrl+F
gemx.MainWindow.M_FIT_SCOPE_TO_CHECKED_CLONES	Fit Scope to Checked Cl&ones	チェックマークがついたクローンセットをスコープに(&O)
gemx.MainWindow.M_FIT_SCOPE_TO_CLONES_EXCEPT_FOR_SELECTED_ONES	Fit Scope to C&lones Except for Selected Ones	選択中のクローンセット以外をスコープに(&L)
gemx.MainWindow.M_FIT_SCOPE_TO_FILES_EXCEPT_FOR_SELECTED_ONES	Fit Scope to F&iles Except for Selected Ones	選択中のファイル以外をスコープに(&I)
gemx.MainWindow.M_FIT_SCOPE_TO_SELECTED_CLONE_SETS	Fit Scope to Selected &Clone Sets	選択中のクローンセットをスコープに(&C)
gemx.MainWindow.M_FIT_SCOPE_TO_SELECTED_FILES	Fit Scope to Selected &Files	選択中のファイルをスコープに(&F)
gemx.MainWindow.M_GEMX_SETTINGS	&GemX Preferences...	GemX設定...(&G)
gemx.MainWindow.M_HELP	&Help	ヘルプ(&H)
gemx.MainWindow.M_INVERT_CHECK_MARKS	&Invert Check Marks\tCtrl+I	チェックマークを反転(&I)\tCtrl+I
gemx.MainWindow.M_METRICS	&Metrics	メトリクス(&M)
gemx.MainWindow.M_OPEN_CLONE_DATA	&Open Clone Data...	クローンデータを開く...(&O)
gemx.MainWindow.M_POP_SCOPE	&Pop Scope	スコープをポップする(&P)
gemx.MainWindow.M_PUSH_SCOPE	P&ush scope	スコープをプッシュする(&U)
gemx.MainWindow.M_RE_DETECT_CLONES	&Re-Detect Clones...	クローンを検出し直す...(&R)
gemx.MainWindow.M_REMOVE_CHECK_MARKS_FROM_SELECTED_ITEMS	&Remove Check Marks from Selected Items\tCtrl+Shift+M	選択中のアイテムからチェックマークを除去(&R)\tCtrl+Shift+M
gemx.MainWindow.M_RESET_SCOPE	&Reset Scope	スコープをリセット(&R)
gemx.MainWindow.M_SAVE_CURRENT_SCOPE_AS	Save Current Scope &As...	現在のスコープに名前を付けて保存...(&A)
gemx.MainWindow.M_SAVE_FILE_LIST_AS	Save File &List as...	ファイルリストを保存...(&L)
gemx.MainWindow.M_SCOPE	&Scope	スコープ(&S)
gemx.MainWindow.M_SELECT_CHECKED_ITEMS	&Select Checked Items\tCtrl+S	チェックマークがついたアイテムを選択状態に(&S)\tCtrl+S
gemx.MainWindow.M_SELECTALL_CTRL_A	Select All\tCtrl+A	すべてを選択\tCtrl+A
gemx.MainWindow.M_SET_SCOPE_TO_CHECKED_FILES	Fit Scope to Checked Fi&les	チェックマークがついたファイルをスコープに(&L)
gemx.MainWindow.M_SETTINGS	&Preferences	設定(&P)
gemx.MainWindow.M_SHOW_LINE_BASD_METRICS	Show Line-Based Metrics(&w)	行ベースのメトリクスを表示(&W)
gemx.MainWindow.M_SHOW_SCOPE	&Show Scope History	スコープ履歴を表示(&S)
gemx.MainWindow.M_USER_REGISTRATION	&User Registration...	ユーザー登録...(&U)
gemx.MainWindow.M_VIEW	&View	ビュー(&V)
gemx.MainWindow.M_VIEW_CLONESET_TABLE	&Clone-Set Table\tAlt+V+C	クローンセットテーブル(&C)\tAlt+V+C
gemx.MainWindow.M_VIEW_FILE_TABLE	&File Table\tAlt+V+F	ファイルテーブル(&F)\tAlt+V+F
gemx.MainWindow.M_VIEW_SCATTER_PLOT	Scatter &Plot\tAlt+V+P	散布図(&P)\tAlt+V+P
gemx.MainWindow.M_VIEW_SCOPE	&Scope\tAlt+V+S	スコープ(&S)\tAlt+V+S
gemx.MainWindow.M_VIEW_SCRAPBOOK	Scrap&book\tAlt+V+B	スクラップブック(&B)\tAlt+V+B
gemx.MainWindow.M_VIEW_SOURCE_TEXT	Source &Text\tAlt+V+T	ソーステキスト(&T)\tAlt+V+T
gemx.MainWindow.S_ARE_YOU_SURE_TO_EXIT_GEMX	Exit GemX? 	GemXを終了しますか？\ 
gemx.MainWindow.S_CALCULATE_CLONE_SET_METRICS_P	Calculate clone-set metrics? 	クローンセットメトリクスを計算しますか？\ 
gemx.MainWindow.S_CALCULATE_FILE_METRICS_P	Calculate file metrics? 	ファイルメトリクスを計算しますか？\ 
gemx.MainWindow.S_CAN_NOT_READ_A_CLONE_DATA_FILE	Can not read a clone data file:\n	クローンデータファイルを読み込めません:\n
gemx.MainWindow.S_CAN_NOT_READ_CLONE_SET_METRIC_FILE	Can not read clone-set metric file.	クローンメトリクスファイルを読み込めません。
gemx.MainWindow.S_CAN_NOT_READ_FILE1	Can not read file '	ファイル\ '
gemx.MainWindow.S_CAN_NOT_READ_FILE2	'	'\ を読み込めません。
gemx.MainWindow.S_CAN_NOT_READ_FILE_METRIC_FILE	Can not read file-metric file.	ファイルメトリクスファイルを読み込めません。
gemx.MainWindow.S_CANCEL	&Cancel	キャンセル(&C)
gemx.MainWindow.S_CANNOT_WRITE_TO_A_TEMPORARY_FILE	Cannot write to a temporary file	一時ファイルに書き込めません
gemx.MainWindow.S_CLONE_DATA_FILE	Clone Data File (*.ccfxd)	クローンデータファイル\ (*.ccfxd)
gemx.MainWindow.S_CLONE_RE_DETECTION	Clone Re-Detection - GemX	クローンの再検出 - GemX
gemx.MainWindow.S_CLONE_SET_METRICS	Clone Set Metrics - GemX	クローンセットメトリクス - GemX
gemx.MainWindow.S_CLONE_SET_TABLE	Clone-Set Table	クローンセットテーブル
gemx.MainWindow.S_CLONEDETECTION_FROMFILELIST_STEP1	Step 1/3. File List Selection - GemX	ステップ(1/3) ファイルリストの選択 - GemX
gemx.MainWindow.S_CLONEDETECTION_FROMFILELIST_STEP2	Step 2/3. Detection Options - GemX	ステップ(2/3) 検出オプション - GemX
gemx.MainWindow.S_CLONEDETECTION_FROMFILELIST_STEP3	Step 3/3. Prescreening - GemX	ステップ(3/3) 事前審査 - GemX
gemx.MainWindow.S_CLONEDETECTION_STEP1	Step 1/3. Preprocess Script and Target Directory Selection - GemX	ステップ(1/3) プリプロセススクリプトおよび対象ディレクトリの選択 - GemX
gemx.MainWindow.S_CLONEDETECTION_STEP2	Not Used	未使用
gemx.MainWindow.S_CLONEDETECTION_STEP3	Step 2/3. Detection Options - GemX	ステップ(2/3) 検出オプション - GemX
gemx.MainWindow.S_CLONEDETECTION_STEP4	Step 3/3. Prescreening - GemX	ステップ(3/3) 事前審査 - GemX
gemx.MainWindow.S_DETECTED_CLONES_TOO_MANY	The detected clones are too many.\nPart of them will be shown.	検出されたクローンが多すぎます。\n一部だけが表示されます。
gemx.MainWindow.S_ERROR_IN_INVOKING_PRESCREENING_FILTER	error in invoking prescreening filter	事前審査フィルタを起動中にエラーが発生しました
gemx.MainWindow.S_EXPIREDATE	ExpireDate: 	有効期限:\ 
gemx.MainWindow.S_FAIL_TO_MAKE_BACKUP_FILE_WILL_YOU_DELETE_IT	Fail to make a backup file of '%s'. \nOverwrite it without making backup?\n	ファイル'%s'のバックアップに失敗しました。\nバックアップを作らずに上書きしますか？
gemx.MainWindow.S_FAIL_TO_OPEN_TEMPORARY_FILE	Fail to open a temporary file	一時ファイルを開くのに失敗しました。
gemx.MainWindow.S_FAIL_TO_PERFORM_FILTERING_CLONE_SETS	Fail to perfrom filtering clone sets. 	クローンセットのフィルタリングに失敗しました。\ 
gemx.MainWindow.S_FAIL_TO_PERFORM_FILTERING_FILES	Fail to perfrom filtering files. 	ファイルのフィルタリングに失敗しました。\ 
gemx.MainWindow.S_FAILURE_IN_CALCULATING_CLONE_SET_METRICS	Failure in calculating clone-set metrics.	クローンセットメトリクスの計算に失敗しました。
gemx.MainWindow.S_FAILURE_IN_CALCULATING_FILE_METRICS	Failure in calculating file metrics.	ファイルメトリクスの計算に失敗しました。
gemx.MainWindow.S_FAILURE_IN_CALCULATING_LINE_BASD_METRICS	Failure in calculating line-based metrics	行ベースのメトリクスの計算に失敗しました。
gemx.MainWindow.S_FAILURE_IN_CALCULATING_METRICS	Faiulre in calclating metrics.	メトリクスの計算に失敗しました。
gemx.MainWindow.S_FAILURE_IN_READING_LINE_BASD_METRICS	Failure in reading line-based metrics file	行ベースのメトリクスファイルを読み込むのに失敗しました。
gemx.MainWindow.S_FILE_IO_ERROR_IN_INVOKING_CCFINDERX		ccfx起動中にファイルI/Oエラーが起きました。
gemx.MainWindow.S_FILE_IO_ERROR_IN_INVOKING_CCFX	File I/O error in invoking ccfx	
gemx.MainWindow.S_FILE_IO_ERROR_IN_READING_A_CLONE_DATA_FILE	File I/O error in reading a clone data file:\n	クローンデータファイルを読み込み中にファイルI/Oエラーが起きました:\n
gemx.MainWindow.S_FILE_IO_ERROR_IN_READING_FILE_LIST	File I/O error in reading file list	ファイルリスト読み込み中にファイルI/Oエラーが起きました
gemx.MainWindow.S_FILE_IO_ERROR_IN_READING_PREPROCESSOR_LIST	File I/O error in reading a list of preprocess scripts.	プリプロセススクリプトのリストを読み込みでファイルI/Oエラーが起きました
gemx.MainWindow.S_FILE_IO_ERROR_IN_WRITING_CLONE_DATA_FILE	File I/O error in writing a clone data file:\n	クローンデータファイル書き出し中にファイルI/Oエラーが起きました:\n
gemx.MainWindow.S_FILE_LIST	File List(*.*)	ファイルリスト(*.*)
gemx.MainWindow.S_FILE_METRICS	File Metrics - GemX	ファイルメトリクス - GemX
gemx.MainWindow.S_FILE_TABLE	File Table	ファイルテーブル
gemx.MainWindow.S_GOTO_THE_OFFICIAL_SITE	&Go to the official site >>	公式サイトへ(&G)\ >>
gemx.MainWindow.S_IO_ERROR_IN_READING_FILELIST	i/o error in reading filelist	ファイルリストを読み込む途中でI/Oエラーが起きました。
gemx.MainWindow.S_LINE_BASED_METRICS	Line-based Metrics	行ベースのメトリクス
gemx.MainWindow.S_Maximum	Maximum	最大値
gemx.MainWindow.S_Minumum	Minimum	最小値
gemx.MainWindow.S_NEXT	Next >>	次へ\ >>
gemx.MainWindow.S_NO_CLONE_DATA_TO_BE_SAVED	No clone data to be saved.	保存すべきクローンデータがありません。
gemx.MainWindow.S_NO_CLONE_DS_ARE_SELECTED	No clone sets are selected.	クローンセットが選択されていません。
gemx.MainWindow.S_NO_CLONE_IDS_ARE_SELECTED	No clone sets are selected.	クローンセットが選択されていません。
gemx.MainWindow.S_NO_FILES_ARE_SELECTED	No files are selected.	ファイルが選択されていません。
gemx.MainWindow.S_NO_SOURCE_FILES_ARE_FOUND	No source files are found.	ソースファイルが見つかりません。
gemx.MainWindow.S_OK	&OK	&OK
gemx.MainWindow.S_SCATTER_PLOT	Scatter Plot	散布図\ 
gemx.MainWindow.S_SCOPE_HISTORY	Scope History	スコープ履歴\ 
gemx.MainWindow.S_SCRAPBOOK	Scrapbook	スクラップブック
gemx.MainWindow.S_SELECT_A_ROOT_DIRECTORY_OF_THE_TARGET_SOURCE_FILES	Select a root directory of the target source files.	対象ソースファイルのルートディレクトリを指定してください。
gemx.MainWindow.S_SELECT_PREPROCESSOR_OF_TARGET_SOURCE_FILES	Select preprocess script of target source files.	対象ソースファイルのプリプロセススクリプトを指定してください。
gemx.MainWindow.S_SOURCE_TEXT	Source Text	ソーステキスト
gemx.MainWindow.S_SPECIFY_CLONE_SET_METRIC_RANGES	Specify Clone-Set Metric Ranges - GemX	クローンセットメトリクスの範囲指定\ -\ GemX
gemx.MainWindow.S_SPECIFY_FILE_METRIC_RANGES_GEMX	Specify File Metric Ranges - GemX	ファイルメトリクスの範囲指定\ -\ GemX
gemx.MainWindow.S_SPECIFY_ONE_CLONE_DATA_FILE	Specify one clone data file.\nTwo or more files are specified.	クローンデータファイルを一つだけ指定してください。\n複数のファイルが指定されました。
gemx.MainWindow.S_SPECIFY_ONE_FILE	Specify one file	ファイルを一つだけ指定してください
gemx.MainWindow.S_SPECIFY_ONE_FILE_LIST	Specify one file list	ファイルリストを一つ指定してください
gemx.MainWindow.S_THE_NAMED_FILE_ALREADY_EXISTS_OVERWRITE_IT_P	The named file already exists. \nOverwrite it ? \n	同名のファイルが存在します。\ \n上書きしますか？\ \n
gemx.MainWindow.S_TOOLTIP_CLN	Count of clone sets included by the file	そのファイルに含まれるクローンセットの数
gemx.MainWindow.S_TOOLTIP_CLONE_LENGTH	Length of a code fragment (of the clone set) \nas sequence of tokens	そのクローンセットのコード断片の\n（トークンの列としての）長さ
gemx.MainWindow.S_TOOLTIP_CVR	Ratio of tokens that are covered by any clone sets	クローンセットによって被覆されるトークンの割合
gemx.MainWindow.S_TOOLTIP_CYC	Cyclomatic number of a code fragmen of the clone set	そのクローンセットのコード断片のサイクロマチック数
gemx.MainWindow.S_TOOLTIP_FILE_LENGTH	Length of the file as sequence of tokens	そのファイルの（トークン列としての）長さ
gemx.MainWindow.S_TOOLTIP_NBR	Count of files that have common clone sets between the file	そのファイルとの間に共通のクローンセットを持つファイルの数
gemx.MainWindow.S_TOOLTIP_POP	Count of code fragments \nof the clone set	そのクローンセットに含まれるコード断片の数
